,video_id,begin,end,sentiment,happy,sad,anger,surprise,disgust,fear,duration,max_emotion,entropy
0,--qXJuDtHPw,23.199,30.325,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.125999999999998,happy,0.0
1,-3g5yACwYnA,82.753,100.555,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,17.802000000000007,happy,1.0986122886681096
2,-3g5yACwYnA,119.919,125.299,0.6666666865348816,,,,,,,5.38000000000001,happy,
3,-3g5yACwYnA,4.84,14.052,0.0,0.4,0.4,0.0,0.0,0.0,0.2,9.212,happy,1.0549201679861442
4,-3g5yACwYnA,13.211,27.521,0.0,0.5,0.5,0.0,0.0,0.0,0.0,14.31,happy,0.6931471805599453
5,-3g5yACwYnA,26.541,41.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.758999999999997,happy,0.0
6,-3g5yACwYnA,74.083,82.776,0.6666666865348816,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,8.692999999999998,sad,0.6365141682948128
7,-3nNcZdcdvU,0.0,9.213,0.3333333432674408,1.0,0.0,0.0,0.0,0.0,0.0,9.213,happy,0.0
8,-3nNcZdcdvU,12.014,20.098,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.084,happy,0.0
9,-3nNcZdcdvU,36.399,44.173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.774000000000001,happy,0.0
10,-571d8cVauQ,0.0,4.992,0.0,,,,,,,4.992,happy,
11,-571d8cVauQ,21.842,28.309,-0.6666666865348816,0.5,0.5,0.0,0.0,0.0,0.0,6.467000000000002,happy,0.6931471805599453
12,-571d8cVauQ,69.893,85.0,0.3333333432674408,1.0,0.0,0.0,0.0,0.0,0.0,15.107,happy,0.0
13,-6rXp3zJ3kc,14.468,22.882,0.0,0.0,0.5,0.5,0.0,0.0,0.0,8.414000000000001,sad,0.6931471805599453
14,-6rXp3zJ3kc,45.428,58.151,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.723000000000006,sad,0.0
15,-6rXp3zJ3kc,58.109,71.96,0.3333333432674408,0.0,1.0,0.0,0.0,0.0,0.0,13.850999999999992,sad,0.0
16,-9YyBTjo1zo,-0.457596371882,1.77959183673,-1.0,,,,,,,2.2371882086120003,happy,
17,-9YyBTjo1zo,0.81950113379,5.96009070295,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.140589569159999,anger,0.0
18,-9YyBTjo1zo,5.97777777778,22.6721088435,2.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,16.69433106572,happy,0.34883209584303193
19,-9YyBTjo1zo,32.8167800454,42.9959183673,-0.3333333432674408,0.25,0.0,0.25,0.0,0.5,0.0,10.179138321899998,disgust,1.0397207708399179
20,-9YyBTjo1zo,42.853968254,47.7850340136,-1.6666666269302368,0.4285714267467966,0.0,0.0,0.1428571465064068,0.4285714267467966,0.0,4.931065759599996,happy,1.0042424770632026
21,-9y-fZ3swSY,0.0,6.748,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.748,happy,0.0
22,-9y-fZ3swSY,5.988,12.096,1.3333333730697632,1.0,0.0,0.0,0.0,0.0,0.0,6.108,happy,0.0
23,-9y-fZ3swSY,11.475,15.898,0.3333333432674408,0.8,0.0,0.0,0.2,0.0,0.0,4.423,happy,0.5004024235381879
24,-9y-fZ3swSY,16.055,22.832,1.3333333730697632,0.4285714267467966,0.0,0.1428571465064068,0.4285714267467966,0.0,0.0,6.777000000000001,happy,1.0042424770632026
25,-9y-fZ3swSY,23.179,25.825,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,2.646000000000001,sad,0.6365141682948128
26,-9y-fZ3swSY,37.077,43.026,-0.3333333432674408,0.2500000055879354,0.0,0.7499999944120646,0.0,0.0,0.0,5.949000000000005,anger,0.5623351507577827
